2025-02-21 10:26:38 | INFO | Initializing LangSAM model...
2025-02-21 10:27:03 | SUCCESS | LangSAM model initialized successfully
2025-02-21 10:48:13 | INFO | Initializing LangSAM model...
2025-02-21 10:48:17 | SUCCESS | LangSAM model initialized successfully
2025-02-21 11:16:35 | INFO | Initializing LangSAM model...
2025-02-21 11:16:38 | SUCCESS | LangSAM model initialized successfully
2025-02-21 11:17:33 | INFO | Initializing LangSAM model...
2025-02-21 11:17:40 | SUCCESS | LangSAM model initialized successfully
2025-02-21 11:45:23 | INFO | Initializing LangSAM model...
2025-02-21 11:45:28 | SUCCESS | LangSAM model initialized successfully
2025-02-21 14:39:12 | INFO | Initializing LangSAM model...
2025-02-21 14:39:20 | SUCCESS | LangSAM model initialized successfully
2025-02-21 14:44:56 | INFO | Initializing LangSAM model...
2025-02-21 14:45:03 | SUCCESS | LangSAM model initialized successfully
2025-02-21 15:03:35 | INFO | Initializing LangSAM model...
2025-02-21 15:04:03 | SUCCESS | LangSAM model initialized successfully
2025-02-21 15:05:37 | INFO | Initializing LangSAM model...
2025-02-21 15:05:43 | SUCCESS | LangSAM model initialized successfully
2025-04-08 13:56:20 | INFO | Initializing LangSAM model...
2025-04-08 13:56:23 | SUCCESS | LangSAM model initialized successfully
2025-04-08 14:00:20 | INFO | Initializing LangSAM model...
2025-04-08 14:00:23 | SUCCESS | LangSAM model initialized successfully
2025-04-08 17:45:50 | INFO | Initializing LangSAM model...
2025-04-08 17:45:54 | SUCCESS | LangSAM model initialized successfully
